 "Provinsi" , "kode_provinsi" , "PDRB_per_kapita_2014_juta_rupiah" , "Longitude" , "Latitude" , "tahun" , "jumlah_penduduk" , "jumlah_penderita" , "jumlah_penerima" , "persentasefilariasis" , "persentasepenerima" ,
 "Aceh" , "11" , "26,59" , "95.3167" , "5.55" , "2012" , "4399593" , "2359" , "1539290" , "0.053618596083774112741792" , "0.053618596083774112741792" ,
 "Aceh" , "11" , "26,59" , "95.3167" , "5.55" , "2011" , "4378288" , "2359" , "1220127" , "0.053879507241186509430169" , "0.053879507241186509430169" ,
 "Aceh" , "11" , "26,59" , "95.3167" , "5.55" , "2010" , "4356210" , "2359" , "674277" , "0.05415257758464353187748" , "0.05415257758464353187748" ,
 "Aceh" , "11" , "26,59" , "95.3167" , "5.55" , "2008" , "4312934" , "2359" , "589375" , "0.054695944802308590857175" , "0.054695944802308590857175" ,
 "Aceh" , "11" , "26,59" , "95.3167" , "5.55" , "2009" , "4333733" , "2359" , "555454" , "0.05443344110031697845714" , "0.05443344110031697845714" ,
 "Bali" , "51" , "38,11" , "115.0667" , "-8.45" , "2011" , "3715600" , "18" , "0" , "0.000484443965981268166648" , "0.000484443965981268166648" ,
 "Bali" , "51" , "38,11" , "115.0667" , "-8.45" , "2012" , "3754700" , "18" , "0" , "0.000479399153061496258023" , "0.000479399153061496258023" ,
 "Bali" , "51" , "38,11" , "115.0667" , "-8.45" , "2008" , "3506700" , "18" , "0" , "0.000513303105483788176918" , "0.000513303105483788176918" ,
 "Bali" , "51" , "38,11" , "115.0667" , "-8.45" , "2009" , "3636200" , "18" , "0" , "0.000495022276002420108904" , "0.000495022276002420108904" ,
 "Bali" , "51" , "38,11" , "115.0667" , "-8.45" , "2010" , "3676300" , "18" , "0" , "0.000489622718494138128009" , "0.000489622718494138128009" ,
 "Banten" , "36" , "36,97" , "105.9333" , "-6.2167" , "2008" , "10664100" , "91" , "4250527" , "0.000853330332611284590354" , "0.000853330332611284590354" ,
 "Banten" , "36" , "36,97" , "105.9333" , "-6.2167" , "2012" , "11336730" , "81" , "4451639" , "0.000714491744974079827251" , "0.000714491744974079827251" ,
 "Banten" , "36" , "36,97" , "105.9333" , "-6.2167" , "2011" , "11539047" , "81" , "5683423" , "0.000701964382327240715806" , "0.000701964382327240715806" ,
 "Banten" , "36" , "36,97" , "105.9333" , "-6.2167" , "2010" , "11244564" , "76" , "5896029" , "0.000675882141806476444973" , "0.000675882141806476444973" ,
 "Banten" , "36" , "36,97" , "105.9333" , "-6.2167" , "2009" , "10950931" , "76" , "4364873" , "0.000694004920677520477482" , "0.000694004920677520477482" ,
